code_iso3,pays,devise,code_devise
AFG,Afghanistan,afghani,AFN
ZAF,Afrique du Sud,rand,ZAR
ALB,Albanie,lek,ALL
DZA,Algérie,dinar algérien,DZD
DEU,Allemagne,euro,EUR
AND,Andorre,euro,EUR
AGO,Angola,kwanza,AOA
ATG,Antigua-et-Barbuda,dollar des Caraïbes orientales,XCD
SAU,Arabie saoudite,riyal saoudien,SAR
ARG,Argentine,peso argentin,ARS
ARM,Arménie,dram,AMD
AUS,Australie,dollar australien,AUD
AUT,Autriche,euro,EUR
AZE,Azerbaïdjan,manat azerbaïdjanais,AZN
BHS,Bahamas,dollar bahaméen,BSD
BHR,Bahreïn,dinar bahreïni,BHD
BGD,Bangladesh,taka,BDT
BRB,Barbade,dollar barbadien,BBD
BEL,Belgique,euro,EUR
BLZ,Belize,dollar bélizien,BZD
BEN,Bénin,franc CFA (BCEAO),XOF
BTN,Bhoutan,ngultrum,BTN
BLR,Biélorussie,rouble biélorusse,BYN
BOL,Bolivie,boliviano,BOB
BIH,Bosnie-Herzégovine,mark convertible,BAM
BWA,Botswana,pula,BWP
BRA,Brésil,réal,BRL
BRN,Brunei,dollar de Brunei,BND
BGR,Bulgarie,euro,EUR
BFA,Burkina Faso,franc CFA (BCEAO),XOF
BDI,Burundi,franc burundais,BIF
KHM,Cambodge,riel,KHR
CMR,Cameroun,franc CFA (BEAC),XAF
CAN,Canada,dollar canadien,CAD
CPV,Cap-Vert,escudo cap-verdien,CVE
CAF,République centrafricaine,franc CFA (BEAC),XAF
CHL,Chili,peso chilien,CLP
CHN,Chine,yuan renminbi,CNY
CYP,Chypre,euro,EUR
COL,Colombie,peso colombien,COP
COM,Comores,franc comorien,KMF
COG,Congo,franc CFA (BEAC),XAF
COD,République démocratique du Congo,franc congolais,CDF
PRK,Corée du Nord,won nord-coréen,KPW
KOR,Corée du Sud,won sud-coréen,KRW
CRI,Costa Rica,colón,CRC
CIV,Côte d'Ivoire,franc CFA (BCEAO),XOF
HRV,Croatie,euro,EUR
CUB,Cuba,peso cubain,CUP
DNK,Danemark,couronne danoise,DKK
DJI,Djibouti,franc de Djibouti,DJF
DMA,Dominique,dollar des Caraïbes orientales,XCD
DOM,République dominicaine,peso dominicain,DOP
EGY,Égypte,livre égyptienne,EGP
ARE,Émirats arabes unis,dirham des Émirats,AED
ECU,Équateur,dollar américain,USD
ERI,Érythrée,nakfa,ERN
ESP,Espagne,euro,EUR
EST,Estonie,euro,EUR
SWZ,Eswatini,lilangeni,SZL
USA,États-Unis,dollar américain,USD
ETH,Éthiopie,birr,ETB
FJI,Fidji,dollar fidjien,FJD
FIN,Finlande,euro,EUR
FRA,France,euro,EUR
GAB,Gabon,franc CFA (BEAC),XAF
GMB,Gambie,dalasi,GMD
GEO,Géorgie,lari,GEL
GHA,Ghana,cedi,GHS
GRC,Grèce,euro,EUR
GRD,Grenade,dollar des Caraïbes orientales,XCD
GTM,Guatemala,quetzal,GTQ
GIN,Guinée,franc guinéen,GNF
GNB,Guinée-Bissau,franc CFA (BCEAO),XOF
GNQ,Guinée équatoriale,franc CFA (BEAC),XAF
GUY,Guyana,dollar guyanien,GYD
HTI,Haïti,gourde,HTG
HND,Honduras,lempira,HNL
HKG,"Hong Kong, RAS",dollar de Hong Kong,HKD
HUN,Hongrie,forint,HUF
IND,Inde,roupie indienne,INR
IDN,Indonésie,roupie indonésienne,IDR
IRQ,Irak,dinar irakien,IQD
IRN,Iran,rial iranien,IRR
IRL,Irlande,euro,EUR
ISL,Islande,couronne islandaise,ISK
ISR,Israël,nouveau shekel,ILS
ITA,Italie,euro,EUR
JAM,Jamaïque,dollar jamaïcain,JMD
JPN,Japon,yen,JPY
JOR,Jordanie,dinar jordanien,JOD
KAZ,Kazakhstan,tenge,KZT
KEN,Kenya,shilling kényan,KES
KGZ,Kirghizistan,som,KGS
KIR,Kiribati,dollar australien,AUD
